Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2010/10/21,,4.011578,,2.947092,,3.414989,7.00063,,2.392805,,,,10.241283,2.541606,4.712062,4.978913,2.480253,,,5.130136,,6.586683,,3.705702,2.387874,4.416868,
2010/10/22,,3.950794,,2.947092,,3.383093,7.058742,,2.398354,,,,10.160121,2.514566,4.690725,4.931462,2.431622,,,5.070039,,6.502897,,3.682176,2.358895,4.346572,
2010/10/25,,4.018331,,2.980057,,3.451788,7.202962,,2.452022,,,,10.261557,2.55062,4.761852,4.989081,2.447834,,,5.070039,,6.637892,,3.664531,2.347304,4.346572,
2010/10/26,,4.045347,,2.92072,,3.390454,7.109341,,2.426114,,,,10.119504,2.546109,4.715617,4.955184,2.485657,,,5.086433,,6.521517,,3.670413,2.353099,4.387581,
2010/10/27,,3.944042,,2.927313,,3.336478,7.07397,,2.402056,,,,9.984279,2.510062,4.733399,4.89079,2.464041,,,4.933455,,6.451695,,3.646881,2.347304,4.264563,
2010/10/28,,3.937289,,2.900941,,3.422345,7.07397,,2.396508,,,,10.099231,2.510062,4.825862,4.938241,2.518076,,,5.020873,,6.540134,,3.670413,2.353099,4.311428,
2010/10/29,,3.856247,,2.848197,,3.36592,6.869111,,2.366896,,,,9.855742,2.464995,4.605378,4.907733,2.507273,,,4.627504,,6.428416,,3.670413,2.370487,4.329,
2010/11/1,,3.923778,,2.881162,,3.390454,7.02337,,2.379851,,,,10.018068,2.487525,4.605378,4.965353,2.588324,,,4.638431,,6.502897,,3.71747,2.399466,4.475448,
2010/11/2,,3.944042,,2.966872,,3.397811,6.990456,,2.365045,,,,9.984279,2.464995,4.54136,4.914513,2.620749,,,4.682139,,6.586683,,3.764528,2.416854,4.575036,
2010/11/3,,4.031835,,3.230593,,3.459143,7.121975,,2.457576,,,,10.322446,2.532593,4.655161,4.978913,2.680188,,,4.775013,,6.791497,,3.935108,2.492199,4.698048,
2010/11/4,,4.018331,,3.177849,,3.454242,7.200367,,2.442771,,,,10.390094,2.541606,4.672944,4.982302,2.701799,,,4.867895,,6.782188,,3.946871,2.509586,4.844496,
