"","WJ","CITIC","GY","EB","SH","BJ","ID.XY.","CS","NJ","HZ","JS","WX","Merchants","MS","HX","PD","BOC","HS","CRCB","BANKCOMM","JY","NB","PSBC","ICBC","ABC","CCB","PA"
"2010/10/22",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/25",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/26",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/27",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/28",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/10/29",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/1",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/2",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/3",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/4",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/5",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/8",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/9",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/10",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/11",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/12",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/15",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/16",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/17",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/18",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
"2010/11/19",0,20813.14,0,14839.5,0,7332.11,18496.73,0,2214.93,0,0,0,24025.07,18237.37,10402.3,21914.11,104598.65,0,0,39515.93,0,2632.74,0,134586.22,103374.06,108103.17,0
